French names;English names;Binomial name;Lifetime Range (y);Height Range (m);Grow rate (m/y);Width (m);Altitude Range (m);Maturity Age (y);Germination (sprout/y);Germination Radius (m)
Sapin blanc, Sapin commun, Sapin pectiné, Sapin, Sapin des Vosges, Sapin argenté;Silver fir;Abies alba;[500 | 800];[30 | 55];0.5;;[400 | 1900];[60 | 70];[30 | 50];[8 | 12]
Bouleau commun;Birch;Betula pendula;[50 |100];[13 | 20];0.6;2;[0 | 1500];;[30 | 50];[5 | 8]
